ID,Problem Description,Domain
1,Problem reported in Graffiti Removal area at Main Street causing inconvenience.,Graffiti Removal
2,Problem reported in Swimming Pools Safety area at Park Avenue causing inconvenience.,Swimming Pools Safety
3,Problem reported in Public Transport area at MG Road causing inconvenience.,Public Transport
4,Problem reported in Parks and Recreation area at Hill Valley causing inconvenience.,Parks and Recreation
5,Problem reported in Public WiFi area at Hill Valley causing inconvenience.,Public WiFi
6,Problem reported in Building Codes area at Hill Valley causing inconvenience.,Building Codes
7,Problem reported in Recycling Services area at Hill Valley causing inconvenience.,Recycling Services
8,Problem reported in Public Playground Safety area at Downtown causing inconvenience.,Public Playground Safety
9,Problem reported in Police area at West Park causing inconvenience.,Police
10,Problem reported in Graffiti Removal area at North End causing inconvenience.,Graffiti Removal
11,Problem reported in Street Furniture Maintenance area at Main Street causing inconvenience.,Street Furniture Maintenance
12,Problem reported in Water Metering area at Riverbank causing inconvenience.,Water Metering
13,Problem reported in Drainage area at Old Town causing inconvenience.,Drainage
14,Problem reported in Homeless Shelters area at Old Town causing inconvenience.,Homeless Shelters
15,Problem reported in Water Billing area at Old Town causing inconvenience.,Water Billing
16,Problem reported in Street Cleaning Schedule area at North End causing inconvenience.,Street Cleaning Schedule
17,Problem reported in Water Metering area at MG Road causing inconvenience.,Water Metering
18,Problem reported in Parks and Recreation area at MG Road causing inconvenience.,Parks and Recreation
19,Problem reported in Street Sweeping area at North End causing inconvenience.,Street Sweeping
20,Problem reported in Parks Lighting area at Main Street causing inconvenience.,Parks Lighting
21,Problem reported in Fire Safety area at Hill Valley causing inconvenience.,Fire Safety
22,Problem reported in Street Furniture Maintenance area at Hill Valley causing inconvenience.,Street Furniture Maintenance
23,Problem reported in Water Quality area at West Park causing inconvenience.,Water Quality
24,Electricity has been out for hours in MG Road.,Electricity
25,Problem reported in Street Performers area at Main Street causing inconvenience.,Street Performers
26,Problem reported in Water Billing area at Sector 9 causing inconvenience.,Water Billing
27,Problem reported in Public Transport area at Sector 9 causing inconvenience.,Public Transport
28,Problem reported in Public Art area at Sector 9 causing inconvenience.,Public Art
29,Problem reported in Public Schools Maintenance area at Downtown causing inconvenience.,Public Schools Maintenance
30,Problem reported in Emergency Services area at Downtown causing inconvenience.,Emergency Services
31,Problem reported in Street Furniture Maintenance area at Main Street causing inconvenience.,Street Furniture Maintenance
32,Problem reported in Community Centers area at Sector 9 causing inconvenience.,Community Centers
33,Problem reported in Sidewalks area at Sector 9 causing inconvenience.,Sidewalks
34,Problem reported in Electric Billing area at MG Road causing inconvenience.,Electric Billing
35,Problem reported in Animal Shelters area at Riverbank causing inconvenience.,Animal Shelters
36,Problem reported in Bike Sharing Services area at Riverbank causing inconvenience.,Bike Sharing Services
37,Problem reported in Public Parks Safety area at Park Avenue causing inconvenience.,Public Parks Safety
38,Problem reported in City Planning area at Old Town causing inconvenience.,City Planning
39,Problem reported in Recycling Services area at Old Town causing inconvenience.,Recycling Services
40,Problem reported in Street Cleaning Schedule area at Main Street causing inconvenience.,Street Cleaning Schedule
41,Problem reported in Public Art area at Hill Valley causing inconvenience.,Public Art
42,Problem reported in Traffic Enforcement area at North End causing inconvenience.,Traffic Enforcement
43,Problem reported in Street Drainage area at Sector 9 causing inconvenience.,Street Drainage
44,Problem reported in Sidewalk Repair area at West Park causing inconvenience.,Sidewalk Repair
45,Problem reported in Parking area at Hill Valley causing inconvenience.,Parking
46,Problem reported in Illegal Dumping area at Downtown causing inconvenience.,Illegal Dumping
47,Streetlight on North End avenue is broken.,Electricity
48,Illegal dumping found near Main Street park.,Garbage
49,Problem reported in Tree Maintenance area at Old Town causing inconvenience.,Tree Maintenance
50,Problem reported in Road Accidents area at North End causing inconvenience.,Road Accidents
51,Large potholes on Sector 9 road making driving unsafe.,Roads
52,Problem reported in City Planning area at Old Town causing inconvenience.,City Planning
53,Problem reported in City Planning area at Main Street causing inconvenience.,City Planning
54,Problem reported in Animal Control area at West Park causing inconvenience.,Animal Control
55,Problem reported in Street Repairs area at West Park causing inconvenience.,Street Repairs
56,Problem reported in Illegal Dumping area at Hill Valley causing inconvenience.,Illegal Dumping
57,Problem reported in Public Libraries area at West Park causing inconvenience.,Public Libraries
58,Problem reported in Traffic area at North End causing inconvenience.,Traffic
59,Problem reported in Public Art area at Sector 9 causing inconvenience.,Public Art
60,Problem reported in Bus Schedules area at Old Town causing inconvenience.,Bus Schedules
61,Large potholes on MG Road road making driving unsafe.,Roads
62,Problem reported in Bridge Maintenance area at Main Street causing inconvenience.,Bridge Maintenance
63,Problem reported in Public Schools Maintenance area at West Park causing inconvenience.,Public Schools Maintenance
64,Problem reported in Energy Conservation area at MG Road causing inconvenience.,Energy Conservation
65,Problem reported in Bus Stops area at MG Road causing inconvenience.,Bus Stops
66,Problem reported in Illegal Dumping area at Downtown causing inconvenience.,Illegal Dumping
67,Problem reported in Monuments area at MG Road causing inconvenience.,Monuments
68,Problem reported in Street Furniture area at Main Street causing inconvenience.,Street Furniture
69,Problem reported in Disaster Management area at Main Street causing inconvenience.,Disaster Management
70,Problem reported in Parks Lighting area at MG Road causing inconvenience.,Parks Lighting
71,Problem reported in Police area at North End causing inconvenience.,Police
72,Problem reported in Parking area at Hill Valley causing inconvenience.,Parking
73,Problem reported in Public Playground Safety area at Downtown causing inconvenience.,Public Playground Safety
74,Problem reported in Public Safety area at West Park causing inconvenience.,Public Safety
75,Problem reported in Street Cleaning Schedule area at West Park causing inconvenience.,Street Cleaning Schedule
76,Problem reported in Energy Conservation area at Main Street causing inconvenience.,Energy Conservation
77,Problem reported in Street Repairs area at North End causing inconvenience.,Street Repairs
78,Problem reported in Public Pools Maintenance area at Main Street causing inconvenience.,Public Pools Maintenance
79,Problem reported in Public Markets area at North End causing inconvenience.,Public Markets
80,Problem reported in Street Sweeping area at Sector 9 causing inconvenience.,Street Sweeping
81,Problem reported in Public Safety area at Riverbank causing inconvenience.,Public Safety
82,Problem reported in Sidewalk Repair area at MG Road causing inconvenience.,Sidewalk Repair
83,Problem reported in Road Signs area at North End causing inconvenience.,Road Signs
84,Problem reported in Traffic Enforcement area at Park Avenue causing inconvenience.,Traffic Enforcement
85,Problem reported in Cemeteries area at Hill Valley causing inconvenience.,Cemeteries
86,Problem reported in Waste Management area at North End causing inconvenience.,Waste Management
87,Problem reported in Street Lighting Maintenance area at Sector 9 causing inconvenience.,Street Lighting Maintenance
88,Problem reported in Sidewalks area at Downtown causing inconvenience.,Sidewalks
89,Problem reported in Parks and Recreation area at Hill Valley causing inconvenience.,Parks and Recreation
90,Problem reported in Public Pools area at North End causing inconvenience.,Public Pools
91,Large potholes on Sector 9 road making driving unsafe.,Roads
92,Problem reported in Traffic Signals area at Downtown causing inconvenience.,Traffic Signals
93,Problem reported in Electric Billing area at North End causing inconvenience.,Electric Billing
94,Problem reported in Taxi Services area at Riverbank causing inconvenience.,Taxi Services
95,Problem reported in Water Leak Detection area at MG Road causing inconvenience.,Water Leak Detection
96,Problem reported in Recycling Services area at MG Road causing inconvenience.,Recycling Services
97,Problem reported in Street Sign Maintenance area at Hill Valley causing inconvenience.,Street Sign Maintenance
98,Problem reported in Bus Schedules area at MG Road causing inconvenience.,Bus Schedules
99,Problem reported in Building Codes area at Park Avenue causing inconvenience.,Building Codes
100,Problem reported in Public Health Clinics area at Downtown causing inconvenience.,Public Health Clinics
101,Problem reported in Snow Removal area at Hill Valley causing inconvenience.,Snow Removal
102,Problem reported in Monuments area at Old Town causing inconvenience.,Monuments
103,Problem reported in Public Schools Maintenance area at Main Street causing inconvenience.,Public Schools Maintenance
104,Problem reported in Parking area at Old Town causing inconvenience.,Parking
105,Problem reported in Public Pools area at Riverbank causing inconvenience.,Public Pools
106,Problem reported in Street Performers area at Park Avenue causing inconvenience.,Street Performers
107,Problem reported in Police area at Riverbank causing inconvenience.,Police
108,Problem reported in Zoning area at West Park causing inconvenience.,Zoning
109,Problem reported in Traffic Signals area at MG Road causing inconvenience.,Traffic Signals
110,Problem reported in Parking area at Hill Valley causing inconvenience.,Parking
